Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA50,MA200,RSI
2025-06-17 00:00:00+05:30,1435.6022520574631,1435.6022520574631,1413.59237643736,1418.946044921875,10366599,0.0,0.0,,,
2025-06-18 00:00:00+05:30,1417.7563491543892,1430.4468040463896,1413.4931173168031,1417.85546875,6681735,0.0,0.0,,,
2025-06-19 00:00:00+05:30,1417.8555238832446,1427.5716651338516,1413.4931722804179,1421.0281982421875,10007230,0.0,0.0,,,
2025-06-20 00:00:00+05:30,1418.7477927518771,1458.4053131642288,1415.8725983169522,1453.6463623046875,29010635,0.0,0.0,,,
2025-06-23 00:00:00+05:30,1440.5593915455418,1451.266970188698,1429.6535737155343,1444.326904296875,5989078,0.0,0.0,,,
2025-06-24 00:00:00+05:30,1452.4566670598808,1462.3710470398119,1430.744150698803,1438.3782958984375,16402744,0.0,0.0,,,
2025-06-25 00:00:00+05:30,1451.4652666586912,1459.7933702625824,1447.9952335758323,1454.737060546875,7525851,0.0,0.0,,,
2025-06-26 00:00:00+05:30,1456.5215658062507,1485.9673475108061,1452.5558137403293,1482.497314453125,14657893,0.0,0.0,,,
2025-06-27 00:00:00+05:30,1486.5621628826696,1508.9686374999123,1484.083567880206,1502.4251708984375,11117052,0.0,0.0,,,
2025-06-30 00:00:00+05:30,1500.838885203447,1511.7447031481738,1483.191240482831,1487.7518310546875,8409527,0.0,0.0,,,
2025-07-01 00:00:00+05:30,1487.7518183386467,1518.2881567329412,1487.256099345396,1515.3138427734375,10368523,0.0,0.0,,,
2025-07-02 00:00:00+05:30,1515.3138007089854,1516.900077238324,1495.7824003020085,1505.7960205078125,6361002,0.0,0.0,,,
2025-07-03 00:00:00+05:30,1507.7790015843786,1518.7839394915495,1500.0457365549344,1504.8046875,11283291,0.0,0.0,,,
2025-07-04 00:00:00+05:30,1510.9515946827762,1516.900223008299,1504.2097675037892,1514.223388671875,6603501,0.0,0.0,,,75.8580127487698
2025-07-07 00:00:00+05:30,1513.5291857359532,1531.5734294639212,1511.9429091838053,1528.3016357421875,7251074,0.0,0.0,,,78.60089098212501
2025-07-08 00:00:00+05:30,1522.8486600409224,1531.672481820406,1517.0982716385254,1524.4349365234375,7171261,0.0,0.0,,,76.0453510458902
2025-07-09 00:00:00+05:30,1523.5426661942138,1537.7202774459709,1497.1704406377573,1505.9942626953125,8870660,0.0,0.0,,,65.1639743269356
2025-07-10 00:00:00+05:30,1506.6881895774993,1511.6453792793734,1494.5926951149827,1504.2095947265625,10047129,0.0,0.0,,,64.20643838882226
